Run,Total_Duration_Min,Discovery_Min,Discovery_Pct,Active_Scan_Min,Active_Scan_Pct,Post_Declaration_Min,Post_Declaration_Pct,First_Declaration_Iter,Total_Iterations
1,60.19,3.93,6.5,27.48,45.7,28.79,47.8,24,46
2,58.94,3.54,6.0,12.97,22.0,42.44,72.0,14,50
3,58.37,3.5,6.0,16.34,28.0,38.52,66.0,17,50
4,60.26,5.17,8.6,37.88,62.9,17.22,28.6,25,35
5,60.15,3.76,6.3,6.27,10.4,50.12,83.3,8,48
6,59.46,3.57,6.0,13.08,22.0,42.81,72.0,14,50
7,58.99,3.54,6.0,12.98,22.0,42.47,72.0,14,50
8,57.89,3.47,6.0,15.05,26.0,39.37,68.0,16,50
9,60.2,3.76,6.2,20.07,33.3,36.37,60.4,19,48
10,59.05,3.54,6.0,20.08,34.0,35.43,60.0,20,50
